type,review_score,total_reviews,review_bucket
Free,0.49862005519779207,1087,1k-10k
Free,0.9631826043983197,4047,1k-10k
Free,0.8925179015051878,13686,10k+
Free,0.8395061728395061,162,50-200
Free,0.9230769230769231,156,50-200
Free,0.525,80,50-200
Free,0.6518987341772152,158,50-200
Free,0.8,410,200-1k
Free,0.2727272727272727,55,50-200
Free,0.8739495798319328,238,200-1k
Free,0.5730994152046783,171,50-200
Free,0.909952606635071,211,200-1k
Free,0.9390444810543658,607,200-1k
Free,0.524390243902439,82,50-200
Free,0.9333333333333333,105,50-200
Free,0.876365647904854,7231,1k-10k
Free,0.924924924924925,333,200-1k
Free,0.9006742477608937,9937,1k-10k
Free,0.47761194029850745,201,200-1k
Free,0.7068965517241379,58,50-200
Free,0.8311688311688312,77,50-200
Free,0.7254901960784313,51,50-200
Free,0.9274148520379676,3582,1k-10k
Free,0.7835497835497836,231,200-1k
Free,0.5068027210884354,1176,1k-10k
Free,0.868421052631579,190,50-200
Free,0.9244444444444444,225,200-1k
Free,0.7473053892215569,835,200-1k
Free,0.9222797927461139,386,200-1k
Free,0.6923076923076923,104,50-200
Free,0.9618591079616506,14394,10k+
Free,0.5,50,50-200
Free,0.6988155668358714,591,200-1k
Free,0.7943262411347518,141,50-200
Free,0.7043513623424156,2459,1k-10k
Free,0.75,64,50-200
Free,0.85625,160,50-200
Free,0.8345864661654135,399,200-1k
Free,0.847457627118644,59,50-200
Free,0.7570754716981132,424,200-1k
Free,0.3730407523510972,319,200-1k
Free,0.8,70,50-200
Free,0.8694267515923567,314,200-1k
Free,0.9681528662420382,314,200-1k
Free,0.7084182930381591,3433,1k-10k
Free,0.6022727272727273,264,200-1k
Free,0.955900430239705,6508,1k-10k
Free,0.8666428316052914,2797,1k-10k
Free,0.7652173913043478,115,50-200
Free,0.7588652482269503,141,50-200
Free,0.7129629629629629,108,50-200
Free,0.8428571428571429,70,50-200
Free,0.7419354838709677,62,50-200
Free,0.8771929824561403,228,200-1k
Free,0.8392857142857143,56,50-200
Free,0.8188405797101449,138,50-200
Free,0.859375,64,50-200
Free,0.8469033138885441,48342,10k+
Free,0.7692307692307693,286,200-1k
Free,0.6082474226804123,2134,1k-10k
Free,0.48214285714285715,56,50-200
Free,0.44,50,50-200
Free,0.8169014084507042,71,50-200
Free,0.9016393442622951,61,50-200
Free,0.9491525423728814,118,50-200
Free,0.9176470588235294,85,50-200
Free,0.6571428571428571,70,50-200
Free,0.622214604045252,2917,1k-10k
Free,0.9186991869918699,123,50-200
Free,0.5625,64,50-200
Free,0.7883211678832117,137,50-200
Free,0.8444444444444444,495,200-1k
Free,0.86,50,50-200
Free,0.7922705314009661,207,200-1k
Free,0.6619718309859155,71,50-200
Free,0.8671209540034072,587,200-1k
Free,1.0,55,50-200
Free,0.676923076923077,65,50-200
Free,0.8970588235294118,68,50-200
